epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,883.879,3.10685,15.8067,0.78794,0.86783,0.67344,0.75014,0.3136,2.33188,6.69865,0.70312,0.000663492,0.000663492,0.000663492
2,1704.93,2.60476,7.03944,0.72001,0.89477,0.74127,0.82616,0.31756,2.28945,4.86938,0.71664,0.000891206,0.000891206,0.000891206
3,2504.88,2.30525,4.67905,0.71042,0.91065,0.82051,0.92043,0.53146,1.6772,3.37518,0.68944,0.000678921,0.000678921,0.000678921
